Dataset,Train_F1,Test_Acc,Test_F1,Complexity,Formula
CM1,0.3728813559322034,0.7272727272727273,0.4,3,(x13 add -0.025)
CM1,0.375,0.7727272727272727,0.2857142857142857,6,(x13 add (log(-6.147) div -3.340))
CM1,0.39080459770114945,0.7727272727272727,0.4,12,sin((x15 subtract sin((x0 multiply (sin((x11 subtract x18)) add x3)))))
JM1,0.4332917705735661,0.694300518134715,0.4114713216957606,3,(x15 sub x6)
KC1,0.4783362218370884,0.6995708154506438,0.5070422535211268,3,(x5 add x16)
KC1,0.4783362218370884,0.6995708154506438,0.5070422535211268,3,(x16 add x5)
KC1,0.4873096446700508,0.6866952789699571,0.46715328467153283,9,(((x5 add x16) mul x8) add (x5 add x0))
KC3,0.5,0.9743589743589743,0.9230769230769231,4,(cos(x4) multiply x12)
KC3,0.5555555555555556,0.9230769230769231,0.7692307692307693,14,(sin((x12 add ((x12 add x2) sub x5))) add (x12 mul cos(sin(x5))))
MC1,0.1568627450980392,0.9232736572890026,0.16666666666666666,4,(log(x17) add x12)
MC1,0.2191780821917808,0.959079283887468,0.2,7,(log(x15) add (log(x10) add x12))
MC2,0.5714285714285714,0.8,0.7619047619047619,3,(x3 sub x9)
MC2,0.5833333333333334,0.72,0.5882352941176471,5,(exp(x3) sub cos(x15))
MW1,0.5283018867924528,0.82,0.3076923076923077,4,(x2 sub cos(x13))
MW1,0.5909090909090909,0.8,0.2857142857142857,9,((x13 sub cos(sin(x2))) add (x18 sub 1.127))
MW1,0.6111111111111112,0.78,0.0,16,((((x18 sub 1.127) sub cos(x15)) mul exp((sin(x8) mul cos(x2)))) sub cos(x13))
PC1,0.32085561497326204,0.7352941176470589,0.3076923076923077,1,x13
PC1,0.32085561497326204,0.7352941176470589,0.3076923076923077,3,(x13 add x13)
PC1,0.32085561497326204,0.7352941176470589,0.3076923076923077,4,(log(2.110) mul x13)
PC1,0.35294117647058826,0.9044117647058824,0.43478260869565216,6,log((x6 add (x13 multiply x11)))
PC1,0.4,0.9264705882352942,0.5,18,(log((((x9 mul x4) mul x13) div (log(log(exp(x12))) sub sin(x12)))) add log(sin(x13)))
PC2,0.25396825396825395,0.8758620689655172,0.0,4,(log(x4) add x4)
PC2,0.25806451612903225,0.9517241379310345,0.0,9,log((sin(x4) add (sin(x8) mul log(x12))))
PC2,0.43478260869565216,0.9310344827586207,0.0,13,log(((sin(x13) mul sin(x12)) div ((-0.084 div x14) sub sin(x12))))
PC2,0.45454545454545453,0.9586206896551724,0.0,17,(log(((sin(x13) mul (-0.084 div x14)) div ((-0.084 div x14) sub sin(x12)))) add log(x18))
PC3,0.41530054644808745,0.7061611374407583,0.3541666666666667,3,(x13 add x18)
PC3,0.4257703081232493,0.7061611374407583,0.3541666666666667,9,((x13 add (x18 mul cos(sin(x18)))) add x6)
PC3,0.4293785310734463,0.7109004739336493,0.35789473684210527,13,((x13 add (x18 mul cos((x18 mul cos((x13 add x18)))))) add x6)
PC4,0.46632124352331605,0.7677165354330708,0.42718446601941745,1,x12
PC4,0.46632124352331605,0.7677165354330708,0.42718446601941745,3,(x12 mul 9.651)
PC4,0.46632124352331605,0.7677165354330708,0.42718446601941745,3,(8.295 mul x12)
PC4,0.46632124352331605,0.7677165354330708,0.42718446601941745,4,(log(2.110) mul x12)
PC4,0.4964871194379391,0.7480314960629921,0.4074074074074074,5,((x12 add x15) sub x5)
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,1,x19
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,3,(x19 add x19)
PC5,0.5234159779614325,0.6607669616519174,0.555984555984556,14,((exp(sin(7.603)) sub log(exp((x2 mul -7.432)))) div exp(sin(sin(x12))))
PC5,0.5234159779614325,0.6607669616519174,0.555984555984556,14,((exp(sin(7.603)) sub log(exp((x2 mul -7.432)))) div exp(sin(sin(x19))))
