Dataset,Model,Acc,F1,MCC,Best Model (MCC),Best Model (F1),Cplx,Formula
CM1,DNN (Tuned),0.8787878787878788,0.5,0.4310344827586206,"DNN (Tuned), RF (Tuned)","DNN (Tuned), RF (Tuned)",,
CM1,RF (Tuned),0.8787878787878788,0.5,0.4310344827586206,"DNN (Tuned), RF (Tuned)","DNN (Tuned), RF (Tuned)",,
CM1,Naive Bayes,0.8636363636363636,0.4,0.3243801933078992,"DNN (Tuned), RF (Tuned)","DNN (Tuned), RF (Tuned)",,
CM1,GP (Ours),0.3484848484848485,0.2711864406779661,0.2014148736276902,"DNN (Tuned), RF (Tuned)","DNN (Tuned), RF (Tuned)",1.0,x4
JM1,RF (Tuned),0.7791450777202072,0.4473257698541329,0.3101186854416123,RF (Tuned),RF (Tuned),,
JM1,DNN (Tuned),0.6230569948186528,0.4457142857142857,0.2624332520079142,RF (Tuned),RF (Tuned),,
JM1,GP (Ours),0.7046632124352331,0.4213197969543147,0.2389853262697463,RF (Tuned),RF (Tuned),3.0,(-5.895 add x0)
JM1,Naive Bayes,0.7959844559585493,0.2482100238663484,0.2087328270847313,RF (Tuned),RF (Tuned),,
KC1,RF (Tuned),0.776824034334764,0.5517241379310345,0.4033177659977713,RF (Tuned),RF (Tuned),,
KC1,DNN (Tuned),0.6652360515021459,0.4935064935064935,0.2800578404053442,RF (Tuned),RF (Tuned),,
KC1,Naive Bayes,0.7424892703862661,0.4,0.2492864562298274,RF (Tuned),RF (Tuned),,
KC1,GP (Ours),0.6523605150214592,0.4635761589403973,0.2363094220267741,RF (Tuned),RF (Tuned),3.0,(x1 add -5.906)
KC3,GP (Ours),0.8717948717948718,0.4444444444444444,0.49709581280096,GP (Ours),DNN (Tuned),1.0,x3
KC3,DNN (Tuned),0.8461538461538461,0.5714285714285714,0.4776785714285714,GP (Ours),DNN (Tuned),,
KC3,RF (Tuned),0.8205128205128205,0.4615384615384615,0.3561268014363686,GP (Ours),DNN (Tuned),,
KC3,Naive Bayes,0.8205128205128205,0.4615384615384615,0.3561268014363686,GP (Ours),DNN (Tuned),,
MC1,DNN (Tuned),0.9028132992327366,0.1363636363636363,0.1540384253771343,DNN (Tuned),DNN (Tuned),,
MC1,GP (Ours),0.8593350383631714,0.0983606557377049,0.113668640589725,DNN (Tuned),DNN (Tuned),11.0,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22))
MC1,RF (Tuned),0.9769820971867008,0.0,-0.0096810754535118,DNN (Tuned),DNN (Tuned),,
MC1,Naive Bayes,0.9539641943734016,0.0,-0.0229714258048727,DNN (Tuned),DNN (Tuned),,
MC2,DNN (Tuned),0.64,0.5714285714285714,0.2802242691589025,DNN (Tuned),DNN (Tuned),,
MC2,Naive Bayes,0.6,0.2857142857142857,0.0416666666666666,DNN (Tuned),DNN (Tuned),,
MC2,GP (Ours),0.52,0.4,0.0067151913668781,DNN (Tuned),DNN (Tuned),1.0,x14
MC2,RF (Tuned),0.56,0.2666666666666666,-0.0312195270527231,DNN (Tuned),DNN (Tuned),,
MW1,RF (Tuned),0.84,0.5,0.4667110645990919,RF (Tuned),RF (Tuned),,
MW1,Naive Bayes,0.78,0.4210526315789473,0.3860440160957241,RF (Tuned),RF (Tuned),,
MW1,DNN (Tuned),0.84,0.4285714285714285,0.3644054444067475,RF (Tuned),RF (Tuned),,
MW1,GP (Ours),0.78,0.3529411764705882,0.2809757434745082,RF (Tuned),RF (Tuned),10.0,(log((x27 add x10)) add ((3.340 mul -4.031) add x4))
PC1,GP (Ours),0.7794117647058824,0.3478260869565217,0.3188667731678459,GP (Ours),GP (Ours),5.0,((x3 mul x4) sub x9)
PC1,DNN (Tuned),0.8455882352941176,0.3225806451612903,0.257550555039693,GP (Ours),GP (Ours),,
PC1,RF (Tuned),0.875,0.2608695652173913,0.1929551024312449,GP (Ours),GP (Ours),,
PC1,Naive Bayes,0.8676470588235294,0.1818181818181818,0.1098181818181818,GP (Ours),GP (Ours),,
PC2,DNN (Tuned),0.896551724137931,0.2105263157894736,0.2580808140698704,DNN (Tuned),DNN (Tuned),,
PC2,GP (Ours),0.5724137931034483,0.088235294117647,0.1612518739340329,DNN (Tuned),DNN (Tuned),2.0,log(x3)
PC2,RF (Tuned),0.9310344827586208,0.0,-0.0327360241164694,DNN (Tuned),DNN (Tuned),,
PC2,Naive Bayes,0.8896551724137931,0.0,-0.0456143158784627,DNN (Tuned),DNN (Tuned),,
PC3,RF (Tuned),0.8767772511848341,0.48,0.4106571682264665,RF (Tuned),RF (Tuned),,
PC3,DNN (Tuned),0.7819905213270142,0.4523809523809524,0.3828083844689716,RF (Tuned),RF (Tuned),,
PC3,GP (Ours),0.6113744075829384,0.3387096774193548,0.2580034552820259,RF (Tuned),RF (Tuned),1.0,x3
PC3,Naive Bayes,0.1611374407582938,0.2202643171806167,0.0157588859742196,RF (Tuned),RF (Tuned),,
PC4,DNN (Tuned),0.8700787401574803,0.6373626373626373,0.5863991783828041,DNN (Tuned),DNN (Tuned),,
PC4,RF (Tuned),0.8661417322834646,0.5641025641025641,0.4896072553704658,DNN (Tuned),DNN (Tuned),,
PC4,GP (Ours),0.7795275590551181,0.5087719298245614,0.4469547773648112,DNN (Tuned),DNN (Tuned),3.0,(x3 mul x8)
PC4,Naive Bayes,0.8307086614173228,0.1886792452830188,0.1121583574216193,DNN (Tuned),DNN (Tuned),,
PC5,DNN (Tuned),0.696165191740413,0.582995951417004,0.3986238759861008,DNN (Tuned),DNN (Tuned),,
PC5,RF (Tuned),0.7551622418879056,0.546448087431694,0.3787887875221604,DNN (Tuned),DNN (Tuned),,
PC5,GP (Ours),0.6017699115044248,0.5392491467576792,0.3301582678804198,DNN (Tuned),DNN (Tuned),3.0,(x5 mul x2)
PC5,Naive Bayes,0.7463126843657817,0.2586206896551724,0.2195010357336424,DNN (Tuned),DNN (Tuned),,
