Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score,Model,Type,Target,Strategy,Train_F1,Train_MCC,Formula,Variant
MC2,0.6,0.375,0.0890870806374748,2.0,4.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5862068965517241,0.4437105884500766,sqrt(x13),1. Standard
MC2,0.56,0.3529411764705882,0.0214373231428136,12.0,24.0,,GP-Seed,Proposed,MCC,SIMPLE,0.696969696969697,0.5485509139337522,(((sqrt(x0) mul sqrt(x14)) add log(sqrt(x13))) max sqrt(x6)),2. Seeding
MC2,0.68,0.6363636363636364,0.3869763716956272,36.0,55.0,,GP-RL,Proposed,MCC,SIMPLE,0.7341772151898734,0.5716712654264562,sqrt((((x12 mul (x13 min x13)) mul (((x12 mul (x13 min x13)) mul ((x13 div x25) sub x0)) div (((x15 mul 6.025) add sqrt(x13)) max x34))) div (((x13 mul 6.025) add sqrt(x13)) max x34))),3. RL
MC2,0.64,0.5263157894736842,0.23814483610392,71.0,113.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.6764705882352942,0.5079721589671172,(((((log(x36) min (x24 sub x13)) min (sqrt(x22) min (x0 mul -9.637))) sub (log((x4 mul x31)) mul ((-8.204 mul x12) sub (-1.400 div -1.929)))) sub sqrt(log((sqrt(x10) add log(x30))))) max ((((x13 mul sqrt(3.909)) mul sqrt(log(x13))) sub (((x24 sub -0.352) div (3.442 add 2.739)) max ((x13 div x37) mul (x1 sub -0.274)))) div log(((sqrt(-4.318) max (-9.976 add x35)) max sqrt(log(x34)))))),4. RL + Seeding
MW1,0.84,0.5,0.4667110645990919,3.0,9.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5128205128205128,0.4604131045160631,log(log(x12)),1. Standard
MW1,0.84,0.5,0.4667110645990919,4.0,7.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5116279069767442,0.4545141902112786,log((x26 add x2)),2. Seeding
MW1,0.78,0.4210526315789473,0.3860440160957241,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.4137931034482758,0.3483720403219641,log(x20),3. RL
MW1,0.78,0.4210526315789473,0.3860440160957241,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.4137931034482758,0.3483720403219641,log(x20),4. RL + Seeding
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.3548387096774194,0.3596839649373817,log((x3 sub x20)),1. Standard
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,5.0,,GP-Seed,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),2. Seeding
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),3. RL
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),4. RL + Seeding
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,5.0,,GP-Standard,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),1. Standard
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,5.0,,GP-Seed,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),2. Seeding
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),3. RL
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),4. RL + Seeding
PC3,0.7677725118483413,0.4615384615384615,0.4056984898740706,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.4336043360433604,0.3673900396842476,log((x3 max x0)),1. Standard
PC3,0.7677725118483413,0.4615384615384615,0.4056984898740706,4.0,7.0,,GP-Seed,Proposed,MCC,SIMPLE,0.4336043360433604,0.3673900396842476,log((x3 max x0)),2. Seeding
PC3,0.7488151658767772,0.4421052631578947,0.3841217281276888,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.4196891191709844,0.3530984507846455,sqrt(x0),3. RL
PC3,0.7488151658767772,0.4421052631578947,0.3841217281276888,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.4196891191709844,0.3530984507846455,sqrt(x0),4. RL + Seeding
PC4,0.7795275590551181,0.5087719298245614,0.4469547773648112,3.0,3.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,(x8 min x3),1. Standard
PC4,0.7834645669291339,0.5132743362831859,0.4519430502738999,7.0,8.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5236051502145923,0.4693608493823007,((x3 min x26) mul (x30 sub x0)),2. Seeding
PC4,0.7795275590551181,0.5087719298245614,0.4469547773648112,3.0,4.0,,GP-RL,Proposed,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,(x3 min x26),3. RL
PC4,0.7283464566929134,0.4732824427480916,0.418640572028122,3.0,4.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.5229007633587787,0.492570836857843,(x3 div x10),4. RL + Seeding
PC5,0.6076696165191741,0.5460750853242321,0.3436609404357899,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5421686746987951,0.337600367796258,log((x21 add x9)),1. Standard
PC5,0.6371681415929203,0.5591397849462365,0.3634904209234658,12.0,23.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5508771929824562,0.3524192330397279,(sqrt((x21 mul x17)) mul (log((x9 max 1.533)) mul log(-4.786))),2. Seeding
PC5,0.6696165191740413,0.5172413793103449,0.2964871538929904,3.0,4.0,,GP-RL,Proposed,MCC,SIMPLE,0.5288683602771362,0.32359708246231,(x9 multiply x3),3. RL
PC5,0.5988200589970502,0.5310344827586206,0.3131318898171956,3.0,4.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.5411558669001751,0.3339573852724904,(x10 multiply x27),4. RL + Seeding
