Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula,Variant
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,2. Seeding
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,3. RL
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,4. RL + Seeding
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x0)),1. Standard
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x15)),2. Seeding
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x15)),3. RL
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x0)),4. RL + Seeding
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,1. Standard
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,2. Seeding
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,3. RL
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,4. RL + Seeding
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,1. Standard
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,2. Seeding
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,3. RL
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,4. RL + Seeding
PC3,F1,0.4308510638297872,0.365896725228567,0.7582938388625592,0.45161290322580644,0.39472952922286636,20,((exp((((x17 add x5) sub exp(x15)) sub (cos(x0) add (x0 mul x0)))) mul exp(sin(x0))) mul x0),1. Standard
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,2. Seeding
