Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula
CM1,F1,SIMPLE,0.3333333333333333,0.21179583994890558,0.7727272727272727,0.2857142857142857,0.16624908065603858,1,1,x20
CM1,F1,SIMPLE,0.3625,0.2867020709183542,0.6666666666666666,0.35294117647058826,0.27063389582661623,2,5,log(x4)
CM1,F1,SIMPLE,0.36507936507936506,0.2624509782790648,0.8181818181818182,0.45454545454545453,0.3750868283966801,6,8,((-5.057 min -5.815) add sqrt(x4))
CM1,F1,SIMPLE,0.36507936507936506,0.2624509782790648,0.8181818181818182,0.45454545454545453,0.3750868283966801,6,8,((x20 min -5.815) add sqrt(x4))
CM1,F1,SIMPLE,0.375,0.2654147130808203,0.8484848484848485,0.4444444444444444,0.3609647718302481,7,11,((sqrt(x20) add -3.127) add sqrt(x4))
CM1,F1,SIMPLE,0.43137254901960786,0.3408070907918563,0.8787878787878788,0.5,0.43103448275862066,17,30,(log((0.394 add x4)) add log(((log((x26 div x2)) max sqrt(x14)) max (-5.057 min -5.815))))
CM1,F1,SIMPLE,0.43137254901960786,0.3408070907918563,0.8787878787878788,0.5,0.43103448275862066,17,30,(log((x20 add x4)) add log(((log((x26 div x2)) max sqrt(x14)) max (-5.057 min -5.815))))
CM1,F1,WEIGHTED,0.3333333333333333,0.21179583994890558,0.7727272727272727,0.2857142857142857,0.16624908065603858,1,1,x20
CM1,F1,WEIGHTED,0.3625,0.2867020709183542,0.6666666666666666,0.35294117647058826,0.27063389582661623,3,3,(-7.023 add x4)
CM1,F1,WEIGHTED,0.38461538461538464,0.28179110240394273,0.8787878787878788,0.42857142857142855,0.3670126371966897,5,11,sqrt(sqrt((x6 div x7)))
CM1,F1,WEIGHTED,0.3670886075949367,0.2928262731259452,0.6666666666666666,0.3125,0.20178544182378397,6,8,((x4 add x20) sub sqrt(x34))
CM1,MCC,SIMPLE,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,1,1,x2
CM1,MCC,SIMPLE,0.3625,0.2867020709183542,0.6666666666666666,0.35294117647058826,0.27063389582661623,2,5,log(x4)
CM1,MCC,SIMPLE,0.36942675159235666,0.29591754179155993,0.6818181818181818,0.36363636363636365,0.28420724737721337,3,9,log(log(x4))
CM1,MCC,SIMPLE,0.3567567567567568,0.30726792344008896,0.5606060606060606,0.32558139534883723,0.25650600020736436,4,8,log((x2 mul x4))
CM1,MCC,SIMPLE,0.41818181818181815,0.3282116960205095,0.7878787878787878,0.36363636363636365,0.2615284308086944,7,10,(((x4 mul x20) div x6) max -1.530)
CM1,MCC,SIMPLE,0.410958904109589,0.35439495724806425,0.6060606060606061,0.23529411764705882,0.08061435194835377,9,13,(((-0.222 add x2) div (x3 mul 6.415)) mul x4)
CM1,MCC,SIMPLE,0.4426229508196721,0.3740882641585996,0.6818181818181818,0.2222222222222222,0.07146166191628024,10,17,log((((x2 add x2) div (x3 mul 6.415)) mul x4))
CM1,MCC,WEIGHTED,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,1,1,x2
CM1,MCC,WEIGHTED,0.3625,0.2867020709183542,0.6666666666666666,0.35294117647058826,0.27063389582661623,2,5,log(x4)
CM1,MCC,WEIGHTED,0.3404255319148936,0.2763075885612669,0.5,0.23255813953488372,0.07046868137564956,3,3,(x2 min x4)
CM1,MCC,WEIGHTED,0.36942675159235666,0.29591754179155993,0.7272727272727273,0.4,0.32826608214930636,4,6,sqrt((x4 sub x13))
CM1,MCC,WEIGHTED,0.3548387096774194,0.30465043051611673,0.5757575757575758,0.36363636363636365,0.3390317518104052,4,7,(sqrt(x20) mul x4)
CM1,MCC,WEIGHTED,0.367816091954023,0.31414289224925784,0.6060606060606061,0.35,0.2899304184902352,7,10,((x2 div (x2 max x28)) mul x4)
CM1,MCC,WEIGHTED,0.410958904109589,0.35439495724806425,0.6060606060606061,0.23529411764705882,0.08061435194835377,9,13,(((-0.222 add x2) div (x3 mul 6.415)) mul x4)
JM1,F1,SIMPLE,0.41872949597375486,0.2289433603784171,0.6742227979274611,0.40473372781065087,0.20859908602062502,1,1,x11
JM1,F1,SIMPLE,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,2,5,log(x0)
JM1,F1,SIMPLE,0.43281548105750883,0.24316870003406402,0.6528497409326425,0.4236559139784946,0.22905721549003186,6,14,log(log(sqrt((x20 sub -7.040))))
JM1,F1,WEIGHTED,0.41872949597375486,0.2289433603784171,0.6742227979274611,0.40473372781065087,0.20859908602062502,1,1,x11
JM1,F1,WEIGHTED,0.4245333333333333,0.22958559830428338,0.6392487046632125,0.4105820105820106,0.20820474929586955,2,4,sqrt(x11)
JM1,F1,WEIGHTED,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,3,3,(x0 sub 8.383)
JM1,F1,WEIGHTED,0.43319027181688124,0.2464397768951904,0.6748704663212435,0.428246013667426,0.23926632179929302,5,6,(x11 mul (x0 sub -2.794))
JM1,F1,WEIGHTED,0.4334820257150354,0.24266234039371878,0.647020725388601,0.42691903259726605,0.23302828578949808,39,66,log((((sqrt(sqrt(x19)) mul sqrt((x19 max x12))) add log(x0)) sub ((((-1.095 mul x0) mul sqrt(x6)) sub (log(x0) max (x13 sub 6.972))) add ((sqrt(x16) add sqrt(x1)) max (log(x17) add (x20 sub x15))))))
JM1,F1,WEIGHTED,0.4334820257150354,0.24266234039371878,0.647020725388601,0.42691903259726605,0.23302828578949808,39,66,log((((sqrt(sqrt(x19)) mul sqrt((x19 max x12))) add log(x0)) sub ((((-1.095 mul x0) mul sqrt(x6)) sub (log(x0) max (x13 sub 6.972))) add ((sqrt(x16) add sqrt(x1)) max (log(x11) add (x20 sub x15))))))
JM1,MCC,SIMPLE,0.41872949597375486,0.2289433603784171,0.6742227979274611,0.40473372781065087,0.20859908602062502,1,1,x11
JM1,MCC,SIMPLE,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,2,5,log(x0)
JM1,MCC,SIMPLE,0.40201394268009294,0.2439793791415855,0.7512953367875648,0.40372670807453415,0.24660723180612173,4,8,(log(x0) mul x11)
JM1,MCC,SIMPLE,0.4317207593386405,0.24957272938988306,0.6968911917098446,0.4306569343065693,0.24776191906466374,7,9,((7.941 div -0.193) add (x20 max -8.566))
JM1,MCC,SIMPLE,0.4317207593386405,0.24957272938988306,0.6968911917098446,0.4306569343065693,0.24776191906466374,7,9,((7.941 div -0.193) add (x20 max x11))
JM1,MCC,WEIGHTED,0.41872949597375486,0.2289433603784171,0.6742227979274611,0.40473372781065087,0.20859908602062502,1,1,x11
JM1,MCC,WEIGHTED,0.421015514809591,0.2520120908662874,0.7318652849740933,0.4152542372881356,0.24482596245424684,3,4,(x11 mul x0)
JM1,MCC,WEIGHTED,0.42035928143712575,0.23160281494316093,0.6755181347150259,0.40569395017793597,0.21020094458883457,3,3,(x0 min x11)
JM1,MCC,WEIGHTED,0.42295652173913045,0.25254987460718825,0.7331606217616581,0.4245810055865922,0.2553517024058813,7,8,((x11 add x0) mul (x0 min x11))
JM1,MCC,WEIGHTED,0.4372912238080777,0.25665021515099806,0.6839378238341969,0.41626794258373206,0.22599409985092708,17,20,((((7.941 div -0.193) add (x18 max -8.566)) add ((x18 mul x11) max (x7 sub x1))) sub x11)
KC1,F1,SIMPLE,0.463855421686747,0.22589659134197443,0.6008583690987125,0.48044692737430167,0.24909735228672902,1,1,x4
KC1,F1,SIMPLE,0.47533632286995514,0.24426125831221793,0.592274678111588,0.4692737430167598,0.22934924644024796,2,5,log(x16)
KC1,F1,SIMPLE,0.48807339449541287,0.2866342473901632,0.6652360515021459,0.4507042253521127,0.22635233566188426,4,12,log(log(sqrt(x9)))
KC1,F1,WEIGHTED,0.463855421686747,0.22589659134197443,0.6008583690987125,0.48044692737430167,0.24909735228672902,1,1,x4
KC1,F1,WEIGHTED,0.49070631970260226,0.2923716525074885,0.6824034334763949,0.463768115942029,0.25009630547188555,3,3,(x9 add -8.810)
KC1,F1,WEIGHTED,0.49554367201426025,0.29332688077690905,0.6394849785407726,0.43243243243243246,0.1922346691088979,12,21,sqrt(sqrt((log(x5) min ((x8 sub x16) add (x9 div -2.733)))))
KC1,MCC,SIMPLE,0.41189931350114417,0.233524038013632,0.721030042918455,0.4444444444444444,0.2582330084346087,1,1,x11
KC1,MCC,SIMPLE,0.4664310954063604,0.24958380647610845,0.6523605150214592,0.46357615894039733,0.23630942202677416,2,5,log(x1)
KC1,MCC,SIMPLE,0.4852459016393443,0.26819615892334114,0.630901287553648,0.4819277108433735,0.2555969321028519,3,7,sqrt(sqrt(x16))
KC1,MCC,SIMPLE,0.48598130841121495,0.28655584329181577,0.6824034334763949,0.463768115942029,0.25009630547188555,4,7,log((x9 sub -7.040))
KC1,MCC,SIMPLE,0.491869918699187,0.30992412859128726,0.7296137339055794,0.45217391304347826,0.2730125800946701,7,9,((x16 div x8) add (x11 sub x2))
KC1,MCC,WEIGHTED,0.41189931350114417,0.233524038013632,0.721030042918455,0.4444444444444444,0.2582330084346087,1,1,x11
KC1,MCC,WEIGHTED,0.4748700173310225,0.2592118501190072,0.6394849785407726,0.4939759036144578,0.27540208181351516,3,3,(x11 add x11)
KC1,MCC,WEIGHTED,0.5078809106830122,0.3092397176409979,0.6781115879828327,0.5098039215686274,0.30574120286322665,5,7,((-8.857 add x16) div x20)
KC3,F1,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,F1,SIMPLE,0.5,0.40472006586574594,0.8717948717948718,0.4444444444444444,0.49709581280096005,13,19,(x3 sub (sqrt((x4 mul x24)) min (log(x0) max (x27 max 2.133))))
KC3,F1,SIMPLE,0.5,0.40472006586574594,0.8717948717948718,0.4444444444444444,0.49709581280096005,13,19,(x3 sub (sqrt((x4 mul x24)) min (log(x0) max (x3 max 2.133))))
KC3,F1,SIMPLE,0.52,0.43846910974285724,0.8461538461538461,0.25,0.346843987809648,15,20,(x3 sub ((sqrt((x27 sub x33)) sub x3) min (log(x0) max (x27 max 2.133))))
KC3,F1,WEIGHTED,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,MCC,SIMPLE,0.47619047619047616,0.4516457129763345,0.8461538461538461,0.25,0.346843987809648,19,31,(-6.190 mul (((x3 add (x13 sub x19)) max (log(x23) mul (x3 div -5.644))) div sqrt((x36 mul x3))))
KC3,MCC,WEIGHTED,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,MCC,WEIGHTED,0.509090909090909,0.4044803729537109,0.8717948717948718,0.4444444444444444,0.49709581280096005,3,3,(x3 sub x11)
MC1,F1,SIMPLE,0.1509433962264151,0.13704573240911105,0.9718670076726342,0.0,-0.013726440155604508,1,1,x21
MC1,F1,SIMPLE,0.21052631578947367,0.19588030484198563,0.969309462915601,0.0,-0.015366492830175247,2,5,log(x3)
MC1,F1,SIMPLE,0.23529411764705882,0.22115441533485436,0.969309462915601,0.0,-0.015366492830175247,3,8,log(sqrt(x3))
MC1,F1,SIMPLE,0.24242424242424243,0.2280626617329632,0.969309462915601,0.0,-0.015366492830175247,7,12,log(((x16 max x29) min sqrt(x3)))
MC1,F1,SIMPLE,0.24242424242424243,0.2280626617329632,0.969309462915601,0.0,-0.015366492830175247,7,12,log(((x21 max x29) min sqrt(x3)))
MC1,F1,WEIGHTED,0.1509433962264151,0.13704573240911105,0.9718670076726342,0.0,-0.013726440155604508,1,1,x21
MC1,F1,WEIGHTED,0.18518518518518517,0.1846739293430198,0.9565217391304348,0.10526315789473684,0.08780384112957995,3,3,(x3 add -8.958)
MC1,F1,WEIGHTED,0.23529411764705882,0.22115441533485436,0.969309462915601,0.0,-0.015366492830175247,3,8,log(sqrt(x3))
MC1,F1,WEIGHTED,0.21686746987951808,0.20760465290843402,0.9616368286445013,0.0,-0.019513223295418148,5,5,((x3 add -8.958) min x28)
MC1,MCC,SIMPLE,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,1,1,x3
MC1,MCC,SIMPLE,0.21052631578947367,0.19588030484198563,0.969309462915601,0.0,-0.015366492830175247,2,5,log(x3)
MC1,MCC,SIMPLE,0.21818181818181817,0.20451952512345617,0.9744245524296675,0.0,-0.0118721171215775,3,9,log(log(x3))
MC1,MCC,SIMPLE,0.23529411764705882,0.22115441533485436,0.969309462915601,0.0,-0.015366492830175247,4,7,log((x3 add -6.482))
MC1,MCC,SIMPLE,0.24615384615384617,0.23171988020806655,0.969309462915601,0.0,-0.015366492830175247,5,11,log(log((x3 add -6.482)))
MC1,MCC,SIMPLE,0.22857142857142856,0.23341131190802392,0.9411764705882353,0.0,-0.027888667551135855,6,15,log(log(log((x3 add -6.482))))
MC1,MCC,SIMPLE,0.25396825396825395,0.23948923934962282,0.969309462915601,0.0,-0.015366492830175247,9,15,log(log(((x29 max x29) min (x3 add -6.482))))
MC1,MCC,SIMPLE,0.21052631578947367,0.24017262681689186,0.979539641943734,0.0,-0.006836772117853058,20,35,(log(log(((x29 max x29) min (x3 add -6.482)))) min (sqrt((-1.460 max x12)) sub (log(x3) div sqrt(x3))))
MC1,MCC,SIMPLE,0.12903225806451613,0.26032886441645287,0.9820971867007673,0.0,0.0,26,47,((x3 div (((x33 min 1.835) div (x21 mul x2)) div (sqrt(0.683) add log(x30)))) min (sqrt((-1.460 max x12)) sub (log(x3) div sqrt(x3))))
MC1,MCC,WEIGHTED,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,1,1,x3
MC1,MCC,WEIGHTED,0.12222222222222222,0.18397441088811103,0.7749360613810742,0.06382978723404255,0.06689105623474753,3,3,(x3 add x21)
MC1,MCC,WEIGHTED,0.19642857142857142,0.1999859068541876,0.9514066496163683,0.17391304347826086,0.16683399338625912,5,5,(x2 min (x3 add -6.482))
MC1,MCC,WEIGHTED,0.17647058823529413,0.24408793399420575,0.9769820971867008,0.0,-0.009681075453511843,5,7,(x21 div (x27 min x16))
MC1,MCC,WEIGHTED,0.18181818181818182,0.2745543494066276,0.979539641943734,0.0,-0.006836772117853058,6,11,log((x21 div (x21 min x16)))
MC1,MCC,WEIGHTED,0.1875,0.3189387475053211,0.9846547314578005,0.25,0.3750457847507963,10,15,(log(x2) div ((x12 sub -2.027) min (-4.562 max 7.093)))
MC2,F1,SIMPLE,0.62,0.35686204215344747,0.48,0.48,0.041666666666666664,1,1,x2
MC2,F1,SIMPLE,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,2,4,sqrt(x6)
MC2,F1,SIMPLE,0.6666666666666666,0.44918795909687426,0.56,0.47619047619047616,0.11342410894527007,3,4,(x4 mul x2)
MC2,F1,SIMPLE,0.6744186046511628,0.4637672848938519,0.56,0.47619047619047616,0.11342410894527007,4,8,log((x4 mul x2))
MC2,F1,SIMPLE,0.675,0.47062521738438035,0.6,0.5,0.17459497553883238,5,12,log(log((x4 mul x2)))
MC2,F1,SIMPLE,0.6944444444444444,0.5205486102644739,0.6,0.5,0.17459497553883238,6,9,(sqrt(x6) min (x4 mul x2))
MC2,F1,WEIGHTED,0.62,0.35686204215344747,0.48,0.48,0.041666666666666664,1,1,x2
MC2,F1,WEIGHTED,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,2,4,sqrt(x6)
MC2,F1,WEIGHTED,0.6382978723404256,0.3936122159865594,0.48,0.48,0.041666666666666664,3,3,(x2 min x18)
MC2,F1,WEIGHTED,0.6779661016949152,0.567733589433837,0.56,0.26666666666666666,-0.031219527052723135,4,6,(x0 min sqrt(x6))
MC2,MCC,SIMPLE,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,1,x13
MC2,MCC,SIMPLE,0.5862068965517241,0.44371058845007666,0.6,0.375,0.0890870806374748,2,4,sqrt(x13)
MC2,MCC,SIMPLE,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,4,6,sqrt((x13 max x6))
MC2,MCC,SIMPLE,0.6557377049180327,0.5189334483626923,0.56,0.26666666666666666,-0.031219527052723135,8,15,(x31 mul ((log(x13) mul x0) div x18))
MC2,MCC,SIMPLE,0.717948717948718,0.5455371925802787,0.6,0.5454545454545454,0.22017621148199482,18,31,(x31 mul ((sqrt((log(((x33 mul x7) add x14)) mul (sqrt(x37) max x11))) mul x0) div x18))
MC2,MCC,SIMPLE,0.7058823529411765,0.552793231817157,0.6,0.375,0.0890870806374748,19,34,(x31 mul ((sqrt((log(((x8 mul 8.695) add sqrt(x37))) mul (sqrt(x14) max x11))) mul x0) div x18))
MC2,MCC,WEIGHTED,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,1,x13
MC2,MCC,WEIGHTED,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,2,4,sqrt(x6)
MC2,MCC,WEIGHTED,0.5862068965517241,0.44371058845007666,0.6,0.375,0.0890870806374748,3,3,(x13 sub 2.062)
MC2,MCC,WEIGHTED,0.7222222222222222,0.564221756379883,0.68,0.5,0.27468516529888065,14,22,log((((x4 sub x13) min sqrt(x28)) sub (log(x14) sub (x16 max x13))))
MW1,F1,SIMPLE,0.375,0.2978017158138548,0.82,0.4,0.3333333333333333,1,1,x20
MW1,F1,SIMPLE,0.41379310344827586,0.34837204032196417,0.78,0.42105263157894735,0.38604401609572414,2,5,log(x20)
MW1,F1,SIMPLE,0.5128205128205128,0.4604131045160631,0.84,0.5,0.46671106459909195,3,9,log(log(x12))
MW1,F1,SIMPLE,0.5142857142857142,0.47457899787624946,0.88,0.5,0.4418993202399135,9,24,sqrt(sqrt((log(log(x12)) mul sqrt(sqrt(x28)))))
MW1,F1,SIMPLE,0.5405405405405406,0.4960287306087647,0.86,0.5333333333333333,0.5,10,21,sqrt(sqrt((sqrt((-0.308 min x24)) mul sqrt(sqrt(x28)))))
MW1,F1,WEIGHTED,0.375,0.2978017158138548,0.82,0.4,0.3333333333333333,1,1,x20
MW1,F1,WEIGHTED,0.38095238095238093,0.30894800651528664,0.9,0.6153846153846154,0.5819143739626463,2,4,sqrt(x26)
MW1,F1,WEIGHTED,0.41379310344827586,0.34837204032196417,0.78,0.42105263157894735,0.38604401609572414,2,5,log(x20)
MW1,F1,WEIGHTED,0.5128205128205128,0.4604131045160631,0.82,0.3076923076923077,0.21821789023599236,3,9,log(log(x15))
MW1,F1,WEIGHTED,0.5,0.47721942193769407,0.92,0.6666666666666666,0.6340294594746585,4,6,sqrt((x26 min x2))
MW1,F1,WEIGHTED,0.5116279069767442,0.45451419021127865,0.84,0.5,0.46671106459909195,4,7,log((x26 add x2))
MW1,F1,WEIGHTED,0.5625,0.5473987486932373,0.94,0.6666666666666666,0.6389151433378876,5,11,sqrt(log((x2 mul x26)))
MW1,MCC,SIMPLE,0.375,0.2978017158138548,0.82,0.4,0.3333333333333333,1,1,x20
MW1,MCC,SIMPLE,0.41379310344827586,0.34837204032196417,0.78,0.42105263157894735,0.38604401609572414,2,5,log(x20)
MW1,MCC,SIMPLE,0.5128205128205128,0.4604131045160631,0.84,0.5,0.46671106459909195,3,9,log(log(x12))
MW1,MCC,WEIGHTED,0.375,0.2978017158138548,0.82,0.4,0.3333333333333333,1,1,x20
