Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula
CM1,F1,0.35772357723577236,0.24987232148393665,0.7121212121212122,0.3870967741935484,0.31295271590421986,1,x13
CM1,F1,0.36363636363636365,0.25304651380814946,0.7424242424242424,0.45161290322580644,0.41038139161025056,3,(x14 add x13)
CM1,MCC,0.35772357723577236,0.24987232148393665,0.7121212121212122,0.3870967741935484,0.31295271590421986,1,x13
CM1,MCC,0.3333333333333333,0.2513435814463151,0.8484848484848485,0.375,0.28879310344827586,2,log(x13)
CM1,MCC,0.36363636363636365,0.25304651380814946,0.7424242424242424,0.45161290322580644,0.41038139161025056,3,(x14 add x13)
JM1,F1,0.41918728994805987,0.23188300481702243,0.6904145077720207,0.4084158415841584,0.21846788782149149,1,x18
JM1,F1,0.42644199611147116,0.24809793070942665,0.7137305699481865,0.4106666666666667,0.23057314685536073,3,(x18 add x13)
JM1,F1,0.4307692307692308,0.24264010316034343,0.6606217616580311,0.4072398190045249,0.20805935582728197,11,(x14 add sqrt((((x0 sub x18) add x18) mul sin(x6))))
JM1,F1,0.43158464034613303,0.24094815602896444,0.6522020725388601,0.4143947655398037,0.21590596775960913,13,(x14 add sqrt((((x18 sub x18) add (x18 sub x3)) mul sin(x6))))
JM1,MCC,0.4185891006352391,0.2413717271168161,0.7150259067357513,0.41798941798941797,0.23933956494632008,1,x15
JM1,MCC,0.42644199611147116,0.24809793070942665,0.7137305699481865,0.4106666666666667,0.23057314685536073,3,(x18 add x13)
JM1,MCC,0.38009049773755654,0.25488129057187,0.7655440414507773,0.3418181818181818,0.20872831824527907,5,log((sqrt(x15) add x15))
KC1,F1,0.47058823529411764,0.24871866699481276,0.703862660944206,0.5035971223021583,0.3064329079562678,1,x5
KC1,F1,0.4775641025641026,0.25396153846510827,0.6266094420600858,0.49122807017543857,0.26943348367746284,3,(x18 subtract x12)
KC1,MCC,0.43400447427293065,0.2559106908123311,0.7467811158798283,0.4485981308411215,0.28906929895522393,1,x6
KC1,MCC,0.43400447427293065,0.2559106908123311,0.7467811158798283,0.4485981308411215,0.28906929895522393,1,x10
KC1,MCC,0.3710144927536232,0.277245728176367,0.7725321888412017,0.3614457831325301,0.2897177444796282,2,log(x16)
KC1,MCC,0.39892183288409705,0.27737214962848233,0.7339055793991416,0.3541666666666667,0.20606404892128447,3,sin(log(x17))
