Dataset,Accuracy,F1_Score,MCC
CM1,0.8484848484848485,0.5,0.4267459067940983
JM1,0.6910621761658031,0.4381625441696113,0.25584184653830466
KC1,0.7296137339055794,0.5116279069767442,0.32883992147966395
KC3,0.8205128205128205,0.46153846153846156,0.3561268014363686
MC1,0.8286445012787724,0.0821917808219178,0.09363566954632518
MC2,0.6,0.5454545454545454,0.22017621148199482
MW1,0.9,0.6153846153846154,0.5819143739626463
PC1,0.8602941176470589,0.2962962962962963,0.22648834340197224
PC2,0.8551724137931035,0.0,-0.054720599565950004
PC3,0.7582938388625592,0.4631578947368421,0.4148572930252779
PC4,0.84251968503937,0.6078431372549019,0.5641989917622086
PC5,0.7374631268436578,0.611353711790393,0.4436706470121591
