Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula
KC1,MCC,0.48816029143898,0.28566540284383574,0.6437768240343348,0.42758620689655175,0.1886374393726213,15,log(((sin(log(x7)) div sin(exp(sin(x4)))) sub (x5 mul sin(sqrt(x9)))))
KC3,F1,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3
KC3,MCC,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3
KC3,MCC,0.41025641025641024,0.41271982684915615,0.8461538461538461,0.25,0.346843987809648,10,sin(log((sin((x28 sub x4)) mul (x30 mul x3))))
MC1,F1,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,x3
MC1,F1,0.1038961038961039,0.08541857615794216,0.9565217391304348,0.0,-0.021873632940660477,2,log(x21)
MC1,F1,0.10451306413301663,0.16101188931142002,0.7749360613810742,0.08333333333333333,0.11070736561173444,3,(x3 mul x4)
MC1,F1,0.15384615384615385,0.1673026516964849,0.9258312020460358,0.12121212121212122,0.11879646345341298,4,log((x3 mul -0.139))
MC1,MCC,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,x3
MC1,MCC,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,4,(x3 sub log(9.624))
MC1,MCC,0.14285714285714285,0.18274910151226453,0.8465473145780051,0.09090909090909091,0.10473791215235059,8,(sqrt((x3 sub exp(x3))) sub sqrt(x22))
MC1,MCC,0.1511111111111111,0.19126953421603696,0.8593350383631714,0.09836065573770492,0.11366864058972502,11,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22))
MC2,F1,0.62,0.35686204215344747,0.48,0.48,0.041666666666666664,1,x2
MC2,F1,0.6336633663366337,0.3884492980336779,0.44,0.5625,0.2211629342323457,3,(x16 add x14)
MC2,F1,0.6904761904761905,0.493458668710914,0.56,0.47619047619047616,0.11342410894527007,5,log(sqrt((x4 div x2)))
MC2,MCC,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,x14
MC2,MCC,0.6229508196721312,0.47091997977586375,0.56,0.26666666666666666,-0.031219527052723135,3,(x28 sub 7.732)
MC2,MCC,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,5,log(sqrt((x6 div -8.321)))
MW1,F1,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,x4
MW1,F1,0.23529411764705882,0.12454411962617888,0.7,0.2857142857142857,0.2000816826662603,2,cos(x27)
MW1,F1,0.30434782608695654,0.2361111111111111,0.74,0.38095238095238093,0.34299717028501764,3,cos(log(x21))
MW1,F1,0.3235294117647059,0.2419513346586043,0.68,0.3333333333333333,0.2884299752006152,4,log((x4 mul x29))
MW1,F1,0.3389830508474576,0.2566039508361436,0.82,0.4,0.3333333333333333,11,cos((log((exp(-6.710) sub (x36 mul x9))) sub sin(x4)))
MW1,F1,0.41025641025641024,0.34673085648740554,0.82,0.18181818181818182,0.08206099398622183,12,((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4))
MW1,F1,0.4444444444444444,0.3931785497463923,0.82,0.18181818181818182,0.08206099398622183,16,(((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4)) sub sin(sin(x4)))
MW1,MCC,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,x4
MW1,MCC,0.225,0.14547859349066158,0.28,0.21739130434782608,0.15617376188860607,2,log(x4)
MW1,MCC,0.26262626262626265,0.1738772210522037,0.54,0.25806451612903225,0.18681617943926834,3,(x4 sub 4.704)
MW1,MCC,0.16666666666666666,0.19047619047619047,0.84,0.0,-0.0842151921066519,4,sin(log(sin(x36)))
MW1,MCC,0.41025641025641024,0.34673085648740554,0.82,0.18181818181818182,0.08206099398622183,5,((3.340 mul -4.031) add x4)
MW1,MCC,0.44,0.3734080224074693,0.78,0.35294117647058826,0.2809757434745082,10,(log((x27 add x10)) add ((3.340 mul -4.031) add x4))
PC1,F1,0.2555066079295154,0.20232764094374597,0.6544117647058824,0.27692307692307694,0.2553203283456271,1,x3
PC1,F1,0.2804878048780488,0.21594224283330085,0.7720588235294118,0.3404255319148936,0.3110308698830423,2,log(x3)
PC1,F1,0.3027027027027027,0.25511930052957843,0.7426470588235294,0.3137254901960784,0.2820058026482305,3,(x3 mul x4)
PC1,F1,0.3516483516483517,0.2926116487182696,0.8455882352941176,0.16,0.07699929078471955,7,((x3 mul x0) sub (x25 mul x21))
PC1,MCC,0.24375,0.2245666329681697,0.5441176470588235,0.225,0.18443343593161313,1,x4
PC1,MCC,0.3037974683544304,0.25184763812164407,0.8970588235294118,0.2222222222222222,0.17500053932695078,2,log(x20)
PC1,MCC,0.3027027027027027,0.25511930052957843,0.7426470588235294,0.3137254901960784,0.2820058026482305,3,(x3 mul x4)
PC1,MCC,0.3236994219653179,0.27824675727481835,0.7794117647058824,0.34782608695652173,0.3188667731678459,5,((x3 mul x4) sub x9)
PC2,F1,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,x3
PC2,F1,0.16,0.1415482375420092,0.9724137931034482,0.0,-0.01211253957778773,2,log(x19)
PC2,F1,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,4,log((x19 mul -3.710))
PC2,F1,0.23880597014925373,0.27199559386627997,0.8482758620689655,0.0,-0.05644272632319809,7,(sqrt(x3) mul log((x19 mul -3.710)))
PC2,MCC,0.08843537414965986,0.15582058114054967,0.47586206896551725,0.07317073170731707,0.13285407418530362,1,x3
PC2,MCC,0.11063829787234042,0.19198611193994244,0.5724137931034483,0.08823529411764706,0.16125187393403298,2,log(x3)
PC2,MCC,0.2222222222222222,0.257125883670813,0.8344827586206897,0.0,-0.05981570970630743,4,log((x19 mul -3.710))
PC2,MCC,0.24242424242424243,0.27519852055205263,0.8551724137931035,0.0,-0.054720599565950004,7,(log(x3) mul log((x19 mul -3.710)))
PC3,F1,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,x3
PC3,F1,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,log(x3)
PC3,MCC,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,x3
PC3,MCC,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,log(x3)
PC3,MCC,0.3770491803278688,0.2856575291543765,0.6966824644549763,0.3333333333333333,0.22582835870233897,8,(sqrt((x13 sub x0)) mul sqrt(log(x3)))
PC4,F1,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,x3
PC4,F1,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,(x3 mul x26)
PC4,F1,0.5213675213675214,0.46691051321493043,0.7834645669291339,0.5132743362831859,0.4519430502738999,5,(x3 mul (x5 mul x0))
PC4,MCC,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,x3
PC4,MCC,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,(x3 mul x8)
PC5,F1,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x8
PC5,F1,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x5
PC5,F1,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x28
PC5,F1,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x27
PC5,F1,0.4943639291465378,0.2447083172222859,0.5693215339233039,0.5228758169934641,0.301440372304924,2,log(x16)
PC5,F1,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,(x8 mul x2)
PC5,F1,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,(x5 mul x2)
PC5,F1,0.5503875968992248,0.3461232559807938,0.640117994100295,0.5234375,0.2985771094968231,6,log(log(log((x24 div x5))))
PC5,MCC,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x8
PC5,MCC,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x28
PC5,MCC,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x5
PC5,MCC,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,x27
PC5,MCC,0.49517684887459806,0.2465414264178084,0.551622418879056,0.5096774193548387,0.2746812192161083,2,log(x0)
PC5,MCC,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,(x5 mul x2)
PC5,MCC,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,(x8 mul x2)
