Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula
CM1,F1,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,x4
CM1,F1,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,2,log(x2)
CM1,F1,0.32989690721649484,0.26074639054917265,0.4696969696969697,0.2222222222222222,0.0481859100722599,4,(log(x2) mul x4)
CM1,F1,0.3404255319148936,0.2763075885612669,0.5,0.23255813953488372,0.07046868137564956,5,(log(x4) mul log(x2))
CM1,F1,0.3424657534246575,0.23940604148259337,0.5909090909090909,0.2702702702702703,0.13888879962004322,7,(cos(log((x21 sub x20))) mul x4)
CM1,F1,0.34965034965034963,0.24929160047167867,0.6060606060606061,0.2777777777777778,0.15086068001879227,10,(log(x4) mul (cos(log((x21 sub x20))) mul x9))
CM1,MCC,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,x4
CM1,MCC,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,2,log(x2)
JM1,F1,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,x3
JM1,F1,0.39291794347974124,0.17896234976598854,0.43588082901554404,0.39972432804962094,0.1961512103003902,2,log(x0)
JM1,F1,0.4013503375843961,0.23699552549780425,0.7448186528497409,0.39939024390243905,0.23751655826544102,3,(x0 sub 7.106)
JM1,F1,0.4132601179581045,0.20907340650373005,0.5382124352331606,0.42173560421735606,0.22693060790750352,8,cos(exp((log(-9.620) div (x0 mul x5))))
JM1,MCC,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,x3
JM1,MCC,0.39291794347974124,0.17896234976598854,0.43588082901554404,0.39972432804962094,0.1961512103003902,2,log(x0)
JM1,MCC,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,3,(-5.895 add x0)
KC1,F1,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,x0
KC1,F1,0.47374847374847373,0.23713594920061862,0.5064377682403434,0.46511627906976744,0.220266352914394,3,(x18 sub 7.106)
KC1,MCC,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,x0
KC1,MCC,0.4434782608695652,0.18775095626391428,0.6094420600858369,0.4678362573099415,0.22992561602683426,2,log(x0)
KC1,MCC,0.4664310954063604,0.24958380647610845,0.6523605150214592,0.46357615894039733,0.23630942202677416,3,(x1 add -5.906)
