Dataset,Accuracy,F1_Score,MCC,Complexity
CM1,0.8484848484848485,0.0,-0.06565321642986127,40.98
JM1,0.7927461139896373,0.4223826714801444,0.3061271986262555,962.5
KC1,0.7553648068669528,0.41237113402061853,0.27723404561464604,206.42
KC3,0.7692307692307693,0.0,-0.10873970905021,30.6
MC1,0.979539641943734,0.0,-0.006836772117853058,61.62
MC2,0.64,0.4,0.16390251702679645,21.92
MW1,0.86,0.2222222222222222,0.14744195615489714,27.32
PC1,0.9117647058823529,0.3333333333333333,0.29705219752420875,55.14
PC2,0.9724137931034482,0.0,-0.01211253957778773,30.64
PC3,0.8815165876777251,0.32432432432432434,0.3012605031495014,108.14
PC4,0.8779527559055118,0.5079365079365079,0.4428177842918359,116.9
PC5,0.7787610619469026,0.5508982035928144,0.4098686019775213,260.62
