Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula,Variant
PC2,MCC,SIMPLE,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,2,3,log(x3),4. RL + Seeding
PC3,MCC,SIMPLE,0.43360433604336046,0.36739003968424766,0.7677725118483413,0.46153846153846156,0.4056984898740706,4,7,log((x3 max x0)),1. Standard
PC3,MCC,SIMPLE,0.43360433604336046,0.36739003968424766,0.7677725118483413,0.46153846153846156,0.4056984898740706,4,7,log((x3 max x0)),2. Seeding
PC3,MCC,SIMPLE,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,2,3,sqrt(x0),3. RL
PC3,MCC,SIMPLE,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,2,3,sqrt(x0),4. RL + Seeding
PC4,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,3,(x8 min x3),1. Standard
PC4,MCC,SIMPLE,0.5236051502145923,0.4693608493823007,0.7834645669291339,0.5132743362831859,0.4519430502738999,7,8,((x3 min x26) mul (x30 sub x0)),2. Seeding
PC4,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,4,(x3 min x26),3. RL
PC4,MCC,SIMPLE,0.5229007633587787,0.492570836857843,0.7283464566929134,0.4732824427480916,0.41864057202812205,3,4,(x3 div x10),4. RL + Seeding
PC5,MCC,SIMPLE,0.5421686746987951,0.33760036779625807,0.6076696165191741,0.5460750853242321,0.34366094043578993,4,7,log((x21 add x9)),1. Standard
PC5,MCC,SIMPLE,0.5508771929824562,0.3524192330397279,0.6371681415929203,0.5591397849462365,0.36349042092346584,12,23,(sqrt((x21 mul x17)) mul (log((x9 max 1.533)) mul log(-4.786))),2. Seeding
PC5,MCC,SIMPLE,0.5288683602771362,0.32359708246231,0.6696165191740413,0.5172413793103449,0.2964871538929904,3,4,(x9 multiply x3),3. RL
PC5,MCC,SIMPLE,0.5411558669001751,0.3339573852724904,0.5988200589970502,0.5310344827586206,0.31313188981719564,3,4,(x10 multiply x27),4. RL + Seeding
