Dataset,Accuracy,F1_Defective
CM1,0.8787878787878788,0.0
JM1,0.7927461139896373,0.23809523809523808
KC1,0.7639484978540773,0.40860215053763443
KC3,0.8974358974358975,0.6
MC1,0.9820971867007673,0.0
MC2,0.76,0.5714285714285714
MW1,0.9,0.0
PC1,0.9191176470588235,0.15384615384615385
PC2,0.9793103448275862,0.0
PC3,0.8483412322274881,0.1111111111111111
PC4,0.8661417322834646,0.2916666666666667
PC5,0.7817109144542773,0.5066666666666667
